אָב|av
אַבָּא|aba
אָבִיב|aviv
אֵב|ev
לֶאֱבוֹד|le'evod
לְהֵיאָבֵד|lehe'aved
לְאַבֵּד|le'abed
לְהִתְאַבֵּד|lehit'abed
לְהַאֲבִיד|leha'avid
הִתְאַבְּדוּת|hit'abdut
אִיבּוּד|ibud
אֲבֵדָה|aveda
אָבוּד|avud
לְאַבְחֵן|le'avchen
אִיבְחוּן|ivchun
לְאַבְטֵחַ|le'avteach
אִיבְטוּחַ|ivtuach
אֲבַטִּיחַ|avatiach
לֶאֱבוֹת|le'evot
אֵבֶל|evel
לֶאֱבוֹל|le'evol
אֲבָל|aval
לְהִתְאַבֵּל|lehit'abel
לְהִתְאַבֵּן|lehit'aben
אֶבֶן|even
לְהַאֲבִיס|leha'avis
לְהֵיאָבֵק|lehe'avek
מַאֲבָק|ma'avak
לְאַבֵּק|le'abek
אָבָק|avak
לְהִתְאַבֵּק|lehit'abek
לְהִתְאַבֵּק|lehit'abek
מְאוּבָּק|me'ubak
אִיבּוּק|ibuk
לְהַאֲבִיק|leha'avik
אַבִּיר|abir
לֶאֱגוֹד|le'egod
לְאַגֵּד|le'aged
לְהֵיאָגֵד|lehe'aged
לְהִתְאַגֵּד|lehit'aged
אֶגֶד|eged
אֲגוּדָּה|aguda
אֲגִידָה|agida
אוּגְדָּה|ugda
הִתְאַגְּדוּת|hit'agdut
אִיגּוּד|igud
תַּאֲגִיד|ta'agid
אֱגוֹז|egoz
אֲגַם|agam
לֶאֱגוֹף|le'egof
לְאַגֵּף|le'agef
אֲגַף|agaf
אִיגּוּף|iguf
אֶגְרוֹן|egron
מַאֲגָר|ma'agar
אִיגֶּרֶת|igeret
לֶאֱגוֹר|le'egor
לְהִתְאַגְרֵף|lehit'agref
אָדִיב|adiv
אָדוֹן|adon
לְהִתְאַדּוֹת|lehit'adot
אִידּוּי|iduy
הִתְאַדּוּת|hit'adut
אֵד|ed
לְאַדּוֹת|le'adot
מַאֲדִים|ma'adim
אֲדַמְדַּם|adamdam
אַדֶּמֶת|ademet
אָדָם|adam
אָדוֹם|adom
אֲדָמָה|adama
לְהַאֲדִים|leha'adim
אוֹדֶם|odem
אוֹדֶם|odem
נֶאְדָּר|ne'edar
אַדִּיר|adir
אָדִישׁ|adish
לֶאֱהוֹב|le'ehov
לְהִתְאַהֵב|lehit'ahev
אַהֲבָה|ahava
אָהוּב|ahuv
מְאוֹהָב|me'ohav
לְהֵיאָהֵב|lehe'ahev
אוֹהֵד|ohed
לֶאֱהוֹד|le'ehod
לֶאֱהוֹהַּ|le'ehoah
אוֹהֶל|ohel
אוֹ|o
אוֹדוֹת|odot
אֲווִיר|avir
לְהָאִיט|leha'it
